numer_sta,date,nb_niv,
07761,20241208005835,511,
p_niv,altitude,t,td,dd,ff,
22647,10676.900000,227.860000,200.020000,227,31.900000,
22592,10693.100000,228.040000,200.180000,227,31.800000,
22429,10741.500000,228.720000,200.380000,228,31.500000,
22322,10773.600000,229.210000,200.430000,229,31.300000,
22214,10805.800000,229.700000,200.470000,231,30.900000,
22097,10841.500000,231.400000,201.270000,232,30.400000,
21999,10871.300000,231.570000,201.000000,234,30.100000,
21897,10903.100000,231.430000,200.430000,236,29.900000,
21783,10938.400000,231.450000,199.970000,237,29.800000,
21673,10972.700000,231.220000,199.280000,238,29.800000,
21555,11009.500000,230.990000,198.580000,240,30.000000,
21447,11043.400000,230.820000,197.940000,241,30.300000,
21335,11078.800000,230.630000,197.260000,242,30.600000,
21232,11111.400000,230.400000,196.580000,243,30.800000,
21134,11142.700000,230.130000,195.940000,244,31.000000,
21045,11171.200000,229.910000,195.350000,245,31.200000,
20942,11204.200000,229.670000,195.000000,245,31.300000,
20837,11238.100000,229.400000,194.820000,246,31.500000,
20739,11269.400000,229.190000,194.680000,246,31.600000,
20642,11301.100000,228.950000,194.520000,247,31.800000,
20543,11333.300000,228.740000,194.380000,248,32.000000,
20450,11363.800000,228.560000,194.260000,249,32.100000,
20399,11380.300000,228.510000,194.220000,249,32.200000,
20249,11429.800000,229.160000,194.660000,250,32.200000,
20151,11462.100000,229.530000,194.910000,250,32.100000,
20063,11491.500000,229.590000,194.950000,250,31.900000,
19972,11522.200000,229.450000,194.860000,249,31.700000,
19866,11558.000000,229.240000,194.720000,249,31.500000,
19762,11593.200000,228.980000,194.540000,248,31.200000,
19668,11625.000000,228.770000,194.400000,248,31.000000,
19581,11654.700000,228.510000,194.220000,247,30.800000,
19490,11685.900000,228.300000,194.080000,247,30.700000,
19391,11720.000000,228.100000,193.940000,247,30.600000,
19299,11751.700000,227.970000,193.860000,247,30.600000,
19205,11784.400000,227.870000,193.790000,247,30.500000,
19107,11818.300000,228.000000,193.880000,247,30.300000,
19022,11848.100000,228.200000,194.010000,247,30.000000,
18929,11880.900000,228.430000,194.170000,247,29.600000,
18834,11914.400000,228.770000,194.400000,247,29.000000,
18733,11950.600000,228.590000,194.270000,247,28.400000,
18645,11982.100000,228.300000,194.080000,247,27.700000,
18551,12015.800000,228.150000,193.980000,247,27.100000,
18454,12050.800000,228.150000,193.980000,247,26.600000,
18357,12086.100000,228.350000,194.120000,248,26.200000,
18260,12121.500000,229.060000,194.590000,248,26.000000,
18165,12156.500000,229.350000,194.790000,249,25.900000,
18074,12190.100000,229.510000,194.900000,249,26.000000,
17982,12224.400000,229.350000,194.790000,249,26.200000,
17883,12261.500000,229.030000,194.570000,249,26.400000,
17782,12299.400000,228.770000,194.400000,249,26.600000,
17685,12336.000000,228.510000,194.220000,249,26.700000,
17592,12371.500000,228.560000,194.260000,250,26.800000,
17500,12406.500000,228.720000,194.360000,251,26.900000,
17407,12442.200000,228.720000,194.360000,251,26.900000,
17317,12476.700000,228.740000,194.380000,252,27.000000,
17228,12511.300000,228.690000,194.340000,252,27.200000,
17140,12545.600000,228.690000,194.340000,252,27.400000,
17042,12583.800000,228.610000,194.290000,252,27.600000,
16957,12617.500000,228.560000,194.260000,251,27.700000,
16886,12645.700000,228.330000,194.100000,251,27.700000,
16823,12670.300000,228.230000,194.030000,251,27.600000,
16749,12699.800000,228.050000,193.910000,250,27.400000,
16671,12731.100000,227.870000,193.790000,250,27.000000,
16596,12761.300000,227.780000,193.730000,250,26.500000,
16518,12792.700000,227.740000,193.700000,250,25.900000,
16438,12824.700000,227.540000,193.570000,249,25.300000,
16359,12856.900000,227.370000,193.450000,249,24.600000,
16283,12887.900000,227.200000,193.330000,249,23.900000,
16210,12917.900000,226.980000,193.180000,249,23.100000,
16136,12948.200000,227.070000,193.250000,248,22.500000,
16065,12977.500000,227.150000,193.300000,248,21.800000,
15997,13005.800000,227.030000,193.220000,247,21.300000,
15926,13035.100000,226.980000,193.180000,247,20.900000,
15852,13066.200000,226.930000,193.150000,246,20.600000,
15776,13098.200000,226.830000,193.080000,245,20.400000,
15702,13129.300000,226.810000,193.070000,245,20.300000,
15626,13161.600000,226.900000,193.130000,244,20.200000,
15551,13193.400000,227.030000,193.220000,245,20.200000,
15477,13225.400000,226.950000,193.170000,245,20.000000,
15399,13259.000000,227.000000,193.200000,246,19.800000,
15362,13274.800000,227.000000,193.200000,247,19.700000,
15250,13323.600000,226.810000,193.070000,249,19.400000,
