numer_sta,date,nb_niv,
07761,20250131111532,3256,
p_niv,altitude,t,td,dd,ff,
102330,5.000000,287.850000,282.650000,254,1.300000,
102310,7.000000,287.010000,282.930000,256,1.300000,
102150,20.000000,287.010000,283.940000,254,1.300000,
101960,35.000000,286.300000,284.210000,254,1.300000,
101860,44.000000,286.150000,284.040000,255,1.400000,
101700,57.000000,286.080000,283.770000,252,1.400000,
101540,70.000000,285.940000,283.560000,248,1.500000,
101380,83.000000,285.840000,283.350000,243,1.700000,
101270,92.000000,285.740000,283.180000,240,1.800000,
101120,105.000000,285.670000,283.100000,235,1.900000,
100970,118.000000,285.570000,283.040000,230,2.100000,
100830,129.000000,285.500000,283.010000,227,2.300000,
100680,141.000000,285.410000,282.950000,226,2.500000,
100540,153.000000,285.360000,283.050000,226,2.700000,
100390,166.000000,285.310000,283.160000,225,2.800000,
100230,179.000000,285.410000,283.260000,225,3.000000,
100000,198.000000,285.450000,283.240000,224,3.100000,
99940,204.000000,285.360000,283.100000,222,3.200000,
99810,215.000000,285.290000,282.990000,220,3.300000,
99650,228.000000,285.190000,282.860000,218,3.400000,
99490,241.000000,285.070000,282.760000,216,3.400000,
99360,252.000000,285.000000,282.710000,214,3.500000,
99240,262.000000,284.930000,282.650000,212,3.500000,
99110,273.000000,284.860000,282.600000,211,3.400000,
98960,286.000000,284.740000,282.510000,210,3.300000,
98840,296.000000,284.690000,282.490000,209,3.200000,
98790,300.000000,284.640000,282.430000,208,3.000000,
98580,318.000000,284.570000,282.320000,207,2.800000,
98420,332.000000,284.550000,282.220000,206,2.700000,
98270,344.000000,284.500000,282.040000,205,2.600000,
98120,357.000000,284.480000,281.880000,203,2.600000,
98000,368.000000,284.400000,281.710000,201,2.500000,
97830,382.000000,284.330000,281.520000,198,2.500000,
97710,392.000000,284.290000,281.360000,196,2.500000,
97550,406.000000,284.220000,281.250000,193,2.400000,
97400,419.000000,284.070000,281.110000,190,2.400000,
97260,431.000000,284.000000,281.040000,188,2.400000,
97090,445.000000,283.860000,280.920000,188,2.300000,
96950,458.000000,283.770000,280.920000,187,2.200000,
96820,469.000000,283.650000,280.960000,187,2.200000,
96670,481.000000,283.530000,280.950000,189,2.200000,
96540,493.000000,283.440000,280.960000,189,2.200000,
96420,503.000000,283.370000,281.000000,188,2.300000,
96290,515.000000,283.230000,280.950000,188,2.400000,
96140,527.000000,283.110000,280.920000,187,2.500000,
96010,538.000000,282.990000,280.870000,186,2.600000,
95860,551.000000,282.870000,280.820000,184,2.600000,
95730,563.000000,282.780000,280.800000,184,2.500000,
95580,576.000000,282.640000,280.730000,184,2.300000,
95470,586.000000,282.570000,280.730000,184,2.300000,
95300,600.000000,282.430000,280.530000,185,2.400000,
95170,612.000000,282.340000,280.270000,186,2.400000,
95000,626.000000,282.290000,280.160000,185,2.400000,
94890,636.000000,282.170000,280.040000,185,2.600000,
94740,649.000000,282.050000,279.950000,186,2.700000,
94580,663.000000,281.910000,279.920000,186,2.800000,
94440,675.000000,281.800000,279.920000,185,2.800000,
94280,690.000000,281.660000,279.800000,183,2.900000,
94100,705.000000,281.520000,279.680000,184,2.800000,
93960,718.000000,281.400000,279.640000,183,2.800000,
93770,734.000000,281.260000,279.590000,180,2.700000,
93590,750.000000,281.120000,279.520000,178,2.700000,
93450,762.000000,280.980000,279.440000,176,2.800000,
93330,773.000000,280.890000,279.320000,174,2.800000,
93220,783.000000,280.820000,279.180000,170,2.800000,
93130,791.000000,280.770000,279.130000,167,2.800000,
93000,802.000000,280.680000,279.060000,166,2.700000,
92880,813.000000,280.560000,278.960000,164,2.600000,
92750,825.000000,280.470000,278.800000,162,2.500000,
92630,835.000000,280.430000,278.680000,158,2.300000,
92500,847.000000,280.310000,278.570000,153,2.300000,
92410,855.000000,280.240000,278.510000,149,2.300000,
92280,866.000000,280.130000,278.430000,145,2.400000,
92170,876.000000,280.030000,278.380000,140,2.500000,
92010,890.000000,279.920000,278.290000,137,2.600000,
91900,900.000000,279.800000,278.160000,135,2.800000,
91730,916.000000,279.690000,277.970000,134,2.900000,
91550,932.000000,279.580000,277.850000,134,2.800000,
91400,945.000000,279.440000,277.770000,135,2.800000,
91290,954.000000,279.370000,277.780000,135,2.800000,
91200,963.000000,279.280000,277.760000,136,2.700000,
91090,973.000000,279.190000,277.710000,138,2.600000,
90980,983.000000,279.090000,277.660000,141,2.600000,
90860,993.000000,279.030000,277.620000,143,2.600000,
90730,1006.000000,278.910000,277.550000,145,2.600000,
90590,1018.000000,278.800000,277.490000,149,2.600000,
90470,1029.000000,278.710000,277.440000,153,2.800000,
90340,1041.000000,278.620000,277.380000,158,2.900000,
90220,1052.000000,278.550000,277.350000,161,2.900000,
90080,1064.000000,278.430000,277.280000,166,3.000000,
90000,1071.000000,278.320000,277.210000,171,3.100000,
89820,1088.000000,278.230000,277.170000,176,3.100000,
89700,1098.000000,278.160000,277.180000,181,3.100000,
89580,1110.000000,278.040000,277.120000,186,3.100000,
89440,1122.000000,277.950000,277.060000,190,3.200000,
89310,1134.000000,277.840000,277.020000,192,3.200000,
89210,1144.000000,277.700000,276.940000,195,3.300000,
89100,1153.000000,277.610000,276.940000,197,3.400000,
88990,1164.000000,277.610000,277.100000,199,3.400000,
88860,1176.000000,277.490000,277.060000,202,3.400000,
88720,1189.000000,277.380000,277.010000,205,3.500000,
88570,1202.000000,277.270000,276.960000,208,3.600000,
88400,1218.000000,277.170000,276.920000,210,3.600000,
88300,1227.000000,277.110000,276.940000,214,3.600000,
88150,1241.000000,276.950000,276.840000,217,3.500000,
88020,1253.000000,276.900000,276.700000,218,3.500000,
87890,1265.000000,276.850000,276.570000,218,3.400000,
87800,1273.000000,276.790000,276.480000,218,3.300000,
87660,1286.000000,276.690000,276.390000,216,3.300000,
87540,1297.000000,276.580000,276.330000,214,3.300000,
87420,1308.000000,276.490000,276.230000,212,3.300000,
87260,1323.000000,276.400000,276.210000,211,3.300000,
87140,1335.000000,276.280000,276.110000,210,3.300000,
87030,1345.000000,276.220000,276.050000,209,3.400000,
86890,1358.000000,276.100000,275.980000,209,3.400000,
86790,1367.000000,276.040000,275.960000,209,3.500000,
86700,1375.000000,275.970000,275.970000,209,3.600000,
86630,1382.000000,275.920000,275.920000,209,3.700000,
86490,1395.000000,275.790000,275.790000,209,3.800000,
86360,1408.000000,275.670000,275.670000,209,4.000000,
86230,1419.000000,275.560000,275.560000,209,4.100000,
86090,1433.000000,275.420000,275.420000,208,4.300000,
85950,1445.000000,275.330000,275.330000,208,4.400000,
85870,1453.000000,275.270000,275.270000,209,4.600000,
85750,1465.000000,275.150000,275.150000,211,4.700000,
85600,1478.000000,275.060000,275.060000,212,4.900000,
85510,1487.000000,275.010000,275.010000,214,5.000000,
85390,1499.000000,274.920000,274.920000,215,5.100000,
85240,1513.000000,274.850000,274.850000,216,5.200000,
85100,1526.000000,274.760000,274.760000,216,5.300000,
85000,1536.000000,274.700000,274.700000,217,5.400000,
84850,1550.000000,274.630000,274.630000,218,5.500000,
84720,1562.000000,274.520000,274.520000,218,5.700000,
84580,1575.000000,274.430000,274.430000,218,5.900000,
84430,1590.000000,274.360000,274.360000,218,6.000000,
84270,1605.000000,274.330000,274.330000,218,6.100000,
84170,1615.000000,274.240000,274.240000,217,6.200000,
84060,1626.000000,274.110000,274.110000,218,6.400000,
83920,1638.000000,274.090000,274.090000,219,6.400000,
83810,1649.000000,274.060000,274.060000,219,6.500000,
83700,1660.000000,274.020000,274.020000,218,6.700000,
83560,1673.000000,273.910000,273.910000,219,6.800000,
